,resultId,raceId,driverId,constructorId,number,positionOrder,points,rank,statusId,driverRef,forename,surname,nationality,nameTeam,year,circuitId,nameTrack
0,1,18,1,1,22,1,10.0,2,1,hamilton,Lewis,Hamilton,British,McLaren,2008,1,Albert Park Grand Prix Circuit
22,23,19,8,6,1,1,10.0,2,1,raikkonen,Kimi,Räikkönen,Finnish,Ferrari,2008,2,Sepang International Circuit
44,45,20,13,6,2,1,10.0,3,1,massa,Felipe,Massa,Brazilian,Ferrari,2008,3,Bahrain International Circuit
66,67,21,8,6,1,1,10.0,1,1,raikkonen,Kimi,Räikkönen,Finnish,Ferrari,2008,4,Circuit de Barcelona-Catalunya
88,89,22,13,6,2,1,10.0,3,1,massa,Felipe,Massa,Brazilian,Ferrari,2008,5,Istanbul Park
108,109,23,1,1,22,1,10.0,6,1,hamilton,Lewis,Hamilton,British,McLaren,2008,6,Circuit de Monaco
128,129,24,9,2,4,1,10.0,4,1,kubica,Robert,Kubica,Polish,BMW Sauber,2008,7,Circuit Gilles Villeneuve
148,149,25,13,6,2,1,10.0,2,1,massa,Felipe,Massa,Brazilian,Ferrari,2008,8,Circuit de Nevers Magny-Cours
168,169,26,1,1,22,1,10.0,3,1,hamilton,Lewis,Hamilton,British,McLaren,2008,9,Silverstone Circuit
188,189,27,1,1,22,1,10.0,2,1,hamilton,Lewis,Hamilton,British,McLaren,2008,10,Hockenheimring
208,209,28,5,1,23,1,10.0,7,1,kovalainen,Heikki,Kovalainen,Finnish,McLaren,2008,11,Hungaroring
228,229,29,13,6,2,1,10.0,1,1,massa,Felipe,Massa,Brazilian,Ferrari,2008,12,Valencia Street Circuit
248,249,30,13,6,2,1,10.0,3,1,massa,Felipe,Massa,Brazilian,Ferrari,2008,13,Circuit de Spa-Francorchamps
268,269,31,20,5,15,1,10.0,14,1,vettel,Sebastian,Vettel,German,Toro Rosso,2008,14,Autodromo Nazionale di Monza
288,289,32,4,4,5,1,10.0,3,1,alonso,Fernando,Alonso,Spanish,Renault,2008,15,Marina Bay Street Circuit
308,309,33,4,4,5,1,10.0,3,1,alonso,Fernando,Alonso,Spanish,Renault,2008,16,Fuji Speedway
328,329,34,1,1,22,1,10.0,1,1,hamilton,Lewis,Hamilton,British,McLaren,2008,17,Shanghai International Circuit
348,349,35,13,6,2,1,10.0,1,1,massa,Felipe,Massa,Brazilian,Ferrari,2008,18,Autódromo José Carlos Pace
368,369,36,8,6,6,1,10.0,1,1,raikkonen,Kimi,Räikkönen,Finnish,Ferrari,2007,1,Albert Park Grand Prix Circuit
390,391,37,4,1,1,1,10.0,2,1,alonso,Fernando,Alonso,Spanish,McLaren,2007,2,Sepang International Circuit
412,413,38,13,6,5,1,10.0,1,1,massa,Felipe,Massa,Brazilian,Ferrari,2007,3,Bahrain International Circuit
