driverRef,wins,years
alboreto,5,14
alesi,1,13
alonso,32,19
angelis,2,8
arnoux,7,12
ascari,13,6
baghetti,1,7
bandini,1,7
barrichello,11,19
beltoise,1,8
berger,10,14
bonnier,1,16
bottas,10,10
boutsen,3,11
brambilla,1,7
brooks,6,6
bryan,1,9
button,15,18
cevert,1,4
clark,25,9
collins,3,7
coulthard,13,15
damon_hill,22,8
depailler,2,8
emerson_fittipaldi,14,11
fagioli,1,2
fangio,24,8
farina,5,6
fisichella,3,14
flaherty,1,6
frentzen,3,10
gasly,1,6
gethin,1,5
gilles_villeneuve,6,6
ginther,1,8
gonzalez,2,9
gurney,4,11
hakkinen,20,11
hamilton,103,16
hanks,1,8
hawthorn,3,7
herbert,3,12
hill,14,18
hulme,8,10
hunt,10,7
ickx,8,13
ireland,1,8
irvine,4,10
jabouille,2,7
jack_brabham,14,16
jones,12,10
keke_rosberg,5,9
kovalainen,1,7
kubica,1,7
laffite,6,13
lauda,25,13
leclerc,5,5
maldonado,1,5
mansell,31,15
mario_andretti,12,14
mass,1,9
massa,11,15
max_verstappen,35,8
mclaren,4,13
michael_schumacher,91,19
montoya,7,6
moss,16,11
musso,1,6
nannini,1,5
nilsson,1,2
ocon,1,6
pace,1,6
panis,1,10
parsons,1,9
patrese,6,17
perez,4,12
peterson,10,9
phil_hill,3,8
piquet,23,14
pironi,3,5
prost,51,13
raikkonen,21,19
ralf_schumacher,6,11
rathmann,1,10
regazzoni,5,11
reutemann,12,11
revson,2,5
ricciardo,8,12
rindt,6,7
rodriguez,2,9
rosberg,23,11
russell,1,4
ruttman,1,8
sainz,1,8
scarfiotti,1,6
scheckter,10,9
senna,41,11
siffert,2,10
stewart,27,9
surtees,6,13
sweikert,1,5
tambay,2,9
taruffi,1,6
trintignant,2,15
trips,2,6
trulli,1,15
vettel,53,16
villeneuve,11,11
vukovich,2,5
wallard,1,2
ward,1,11
watson,5,12
webber,9,12
