,resultId,raceId,driverId,constructorId,number,positionOrder,points,rank,statusId,driverRef,forename,surname,nationality,nameTeam,year,nameTrack,circuitId
0,1,18,1,1,22,1,10.0,2,1,hamilton,Lewis,Hamilton,British,McLaren,2008,Australian Grand Prix,1
22,23,19,8,6,1,1,10.0,2,1,raikkonen,Kimi,Räikkönen,Finnish,Ferrari,2008,Malaysian Grand Prix,2
44,45,20,13,6,2,1,10.0,3,1,massa,Felipe,Massa,Brazilian,Ferrari,2008,Bahrain Grand Prix,3
66,67,21,8,6,1,1,10.0,1,1,raikkonen,Kimi,Räikkönen,Finnish,Ferrari,2008,Spanish Grand Prix,4
88,89,22,13,6,2,1,10.0,3,1,massa,Felipe,Massa,Brazilian,Ferrari,2008,Turkish Grand Prix,5
108,109,23,1,1,22,1,10.0,6,1,hamilton,Lewis,Hamilton,British,McLaren,2008,Monaco Grand Prix,6
128,129,24,9,2,4,1,10.0,4,1,kubica,Robert,Kubica,Polish,BMW Sauber,2008,Canadian Grand Prix,7
148,149,25,13,6,2,1,10.0,2,1,massa,Felipe,Massa,Brazilian,Ferrari,2008,French Grand Prix,8
168,169,26,1,1,22,1,10.0,3,1,hamilton,Lewis,Hamilton,British,McLaren,2008,British Grand Prix,9
188,189,27,1,1,22,1,10.0,2,1,hamilton,Lewis,Hamilton,British,McLaren,2008,German Grand Prix,10
208,209,28,5,1,23,1,10.0,7,1,kovalainen,Heikki,Kovalainen,Finnish,McLaren,2008,Hungarian Grand Prix,11
228,229,29,13,6,2,1,10.0,1,1,massa,Felipe,Massa,Brazilian,Ferrari,2008,European Grand Prix,12
248,249,30,13,6,2,1,10.0,3,1,massa,Felipe,Massa,Brazilian,Ferrari,2008,Belgian Grand Prix,13
268,269,31,20,5,15,1,10.0,14,1,vettel,Sebastian,Vettel,German,Toro Rosso,2008,Italian Grand Prix,14
288,289,32,4,4,5,1,10.0,3,1,alonso,Fernando,Alonso,Spanish,Renault,2008,Singapore Grand Prix,15
308,309,33,4,4,5,1,10.0,3,1,alonso,Fernando,Alonso,Spanish,Renault,2008,Japanese Grand Prix,16
328,329,34,1,1,22,1,10.0,1,1,hamilton,Lewis,Hamilton,British,McLaren,2008,Chinese Grand Prix,17
348,349,35,13,6,2,1,10.0,1,1,massa,Felipe,Massa,Brazilian,Ferrari,2008,Brazilian Grand Prix,18
368,369,36,8,6,6,1,10.0,1,1,raikkonen,Kimi,Räikkönen,Finnish,Ferrari,2007,Australian Grand Prix,1
390,391,37,4,1,1,1,10.0,2,1,alonso,Fernando,Alonso,Spanish,McLaren,2007,Malaysian Grand Prix,2
412,413,38,13,6,5,1,10.0,1,1,massa,Felipe,Massa,Brazilian,Ferrari,2007,Bahrain Grand Prix,3
434,435,39,13,6,5,1,10.0,1,1,massa,Felipe,Massa,Brazilian,Ferrari,2007,Spanish Grand Prix,4
456,457,40,4,1,1,1,10.0,1,1,alonso,Fernando,Alonso,Spanish,McLaren,2007,Monaco Grand Prix,6
478,479,41,1,1,2,1,10.0,2,1,hamilton,Lewis,Hamilton,British,McLaren,2007,Canadian Grand Prix,7
